new_id	old_id
0	56
1	155
2	204
3	214
4	285
5	290
6	346
7	403
8	417
9	425
10	465
11	633
12	737
13	762
14	765
15	825
16	827
17	840
18	856
19	938
20	967
21	974
22	1024
23	1026
24	1100
25	1154
26	1157
27	1166
28	1185
29	1191
30	1211
31	1239
32	1247
33	1267
34	1291
35	1297
36	1305
37	1307
38	1310
39	1315
40	1357
41	1360
42	1374
43	1384
44	1385
45	1393
46	1403
47	1416
48	1419
49	1437
50	1493
51	1498
52	1548
53	1549
54	1571
55	1596
56	1633
57	1637
58	1646
59	1653
60	1679
61	1680
62	1688
63	1705
64	1706
65	1723
66	1729
67	1734
68	1744
69	1754
70	1769
71	1777
72	1781
73	1792
74	1799
75	1808
76	1814
77	1865
78	1915
79	1918
80	1919
81	1935
82	1956
83	1982
84	1990
85	2014
86	2016
87	2053
88	2066
89	2102
90	2114
91	2116
92	2120
93	2133
94	2134
95	2135
96	2144
97	2145
98	2160
99	2174
100	2209
101	2210
102	2223
103	2225
104	2231
105	2237
106	2240
107	2251
108	2252
109	2256
110	2257
111	2258
112	2264
113	2289
114	2290
115	2297
116	2307
117	2322
118	2323
119	2324
120	2325
121	2328
122	2338
123	2354
124	2356
125	2364
126	2369
127	2371
128	2375
129	2381
130	2384
131	2386
132	2398
133	2410
134	2411
135	2416
136	2426
137	2433
138	2456
139	2470
140	2474
141	2485
142	2501
143	2506
144	2508
145	2510
146	2511
147	2516
148	2517
149	2535
150	2542
151	2544
152	2547
153	2550
154	2560
155	2565
156	2576
157	2585
158	2592
159	2593
160	2594
161	2595
162	2597
163	2599
164	2605
165	2612
166	2617
167	2623
168	2625
169	2646
170	2647
171	2651
172	2652
173	2653
174	2654
175	2655
176	2657
177	2658
178	2660
179	2662
180	2667
181	2674
182	2686
183	2687
184	2689
185	2693
186	2696
187	2697
188	2700
189	2707
190	2708
191	2713
192	2721
193	2724
194	2727
195	2746
196	2747
197	2754
198	2763
199	2764
200	2768
201	2770
202	2775
203	2777
204	2785
205	2787
206	2790
207	2794
208	2799
209	2805
210	2809
211	2811
212	2814
213	2815
214	2819
215	2822
216	2825
217	2828
218	2830
219	2831
220	2834
221	2838
222	2844
223	2851
224	2856
225	2859
226	2871
227	2877
228	2880
229	2900
230	2902
231	2909
232	2912
233	2917
234	2918
235	2922
236	2923
237	2926
238	2932
239	2940
240	2946
241	2951
242	2955
243	2958
244	2963
245	2966
246	2968
247	2972
248	2973
249	2974
250	2977
251	2979
252	2981
253	2991
254	2993
255	2999
256	3000
257	3002
258	3005
259	3007
260	3009
261	3010
262	3018
263	3020
264	3021
265	3024
266	3026
267	3027
268	3028
269	3029
270	3030
271	3033
272	3034
273	3050
274	3056
275	3059
276	3068
277	3073
278	3084
279	3089
280	3092
281	3099
282	3103
283	3106
284	3114
285	3117
286	3125
287	3126
288	3140
289	3144
290	3145
291	3148
292	3150
293	3164
294	3173
295	3192
296	3200
297	3235
298	3238
299	3243
300	3251
301	3253
302	3258
303	3260
304	3265
305	3276
306	3284
307	3293
308	3297
309	3307
310	3309
311	3310
312	3313
313	3319
314	3320
315	3321
316	3324
317	3334
318	3338
319	3346
320	3348
321	3351
322	3352
323	3371
324	3381
325	3393
326	3394
327	3404
328	3408
329	3417
330	3435
331	3439
332	3443
333	3447
334	3452
335	3453
336	3454
337	3455
338	3456
339	3458
340	3459
341	3460
342	3461
343	3464
344	3473
345	3480
346	3483
347	3486
348	3489
349	3506
350	3516
351	3520
352	3529
353	3537
354	3538
355	3541
356	3547
357	3548
358	3557
359	3562
360	3567
361	3568
362	3576
363	3580
364	3587
365	3607
366	3609
367	3615
368	3631
369	3635
370	3643
371	3645
372	3646
373	3650
374	3660
375	3661
376	3664
377	3670
378	3680
379	3681
380	3691
381	3717
382	3720
383	3726
384	3748
385	3752
386	3769
387	3770
388	3787
389	3792
390	3796
391	3803
392	3804
393	3806
394	3807
395	3812
396	3813
397	3816
398	3843
399	3847
400	3849
401	3854
402	3856
403	3867
404	3871
405	3885
406	3887
407	3892
408	3893
409	3898
410	3903
411	3910
412	3926
413	3937
414	3946
415	3956
416	3958
417	3962
418	3967
419	3969
420	3976
421	4011
422	4013
423	4021
424	4024
425	4031
426	4037
427	4040
428	4043
429	4044
430	4051
431	4055
432	4058
433	4065
434	4071
435	4072
436	4088
437	4098
438	4103
439	4110
440	4117
441	4124
442	4127
443	4134
444	4138
445	4162
446	4179
447	4189
448	4191
449	4199
450	4201
451	4212
452	4231
453	4233
454	4234
455	4247
456	4256
457	4261
458	4263
459	4266
460	4269
461	4289
462	4290
463	4297
464	4298
465	4299
466	4315
467	4331
468	4335
469	4341
470	4349
471	4355
472	4361
473	4365
474	4373
475	4384
476	4385
477	4386
478	4400
479	4401
480	4412
481	4417
482	4422
483	4424
484	4432
485	4435
486	4448
487	4453
488	4463
489	4468
490	4482
491	4485
492	4488
493	4500
494	4507
495	4510
496	4528
497	4530
498	4531
499	4536
